nuts3,Period 1,Period 2,Period 3,Period 4,Period 5,Period 6,Period 7,Period 8,Period 9,Period 10,Period 11,Period 12
DE931,0.19007964210044836,0.18292654458165342,0.13834837864410252,0.08112513132132389,0.02035451877901919,0.0016131893868175228,-6.268957251449498e-17,0.0006689379238312157,0.012826720909764975,0.06978346264341517,0.1302559798144225,0.17201749389520116
DE932,0.18779901438578606,0.17994073374100553,0.13799830534065013,0.0827791264075818,0.023053401764668947,0.001972048756738763,-1.487537568023367e-17,0.0008866135354744563,0.014158309062674228,0.07117081152246946,0.13001230969698013,0.17022932578597041
DE933,0.18782051578203574,0.18041105136420918,0.14003902455064007,0.08532407023886406,0.02468282451275696,0.0021621290906734154,-1.9153628634276592e-17,0.0008022734164160555,0.013295853534542521,0.0684714167687199,0.12784412265259032,0.1691467180885517
DE934,0.1862798310829171,0.17834851307611185,0.13845326637492075,0.08451308425979664,0.025784589609206245,0.0023358272727159114,-3.165630587912793e-18,0.0011918801279347723,0.01556450517062214,0.07056557209402728,0.12872855703398867,0.16823437389775872
DE935,0.18818865320192968,0.18073995421295405,0.14016985015009625,0.08518231187221856,0.024316118567137262,0.002111919690610414,-3.036450690348494e-17,0.0007405821776434111,0.012952931130191362,0.06826173104429197,0.12791469722494808,0.169421250727979
DE936,0.1885165382837458,0.1805695892992113,0.13818859064467637,0.08241266548137376,0.022352590735531436,0.001877922611707599,-2.0190722331131024e-17,0.0008051067246634824,0.013672903044955928,0.07072679902723815,0.13011849478307516,0.17075879936382102
DE937,0.1881575939937883,0.18025647228338906,0.13810184942438444,0.08260951793665985,0.02270413396647255,0.0019248899341623603,-5.83548462773872e-17,0.0008374731455047868,0.013876472682627025,0.07095946752838098,0.1300751688279866,0.17049696027664393
DE938,0.19011826840969195,0.18295864417866997,0.13834360589400987,0.08108963010616049,0.02035840974832189,0.0016144774081441602,2.5280525679179687e-17,0.0006706408237910993,0.012826088747286852,0.06973500288122982,0.1302444595855753,0.1720407722171187
DE939,0.18740588488377352,0.18004340706087596,0.13990793610691013,0.08550942713877378,0.025094198932822113,0.00221794747549912,6.126204297465719e-17,0.0008555197347513596,0.013606636795701335,0.06873006780615555,0.12778500859224406,0.16884396547249322
DE93A,0.1862269698184887,0.17900112041248875,0.13955283998005932,0.08607217731737556,0.026303330732737735,0.002381711664730087,-1.9087704112349615e-17,0.0009811228085759625,0.014367459888963504,0.06948410465170522,0.12763901613345727,0.16799014659141795
DE93B,0.18855041854481233,0.18060407066879605,0.13822508636060876,0.08244132206616073,0.02233265007204912,0.001874510145967878,-1.708602502210046e-17,0.0007718939175475537,0.013512199465339114,0.07073878164244907,0.13015539451369748,0.17079367260257208
DE941,0.18911783165409204,0.1811115995444742,0.13843436703248133,0.08223279756515434,0.021717625700217794,0.0017896711371312207,3.8420841572062744e-17,0.000662329302723549,0.012922285451492526,0.07047049252645003,0.1303075210467304,0.17123347903905262
DE942,0.18671636836923325,0.18174447854362022,0.1425040286848598,0.08555072630172825,0.02956841194695628,0.0028766268661784737,1.5818277328730014e-17,8.392651124993434e-05,0.009077501615692969,0.0641980249512345,0.1254765465542451,0.17220335965500114
DE943,0.18956476308934175,0.18150378286009966,0.1385556594155431,0.082002249116396,0.02124620983326658,0.0017260102665133724,2.4824653342445963e-18,0.0006157966203347916,0.01264209635402677,0.07020229250555539,0.1303768691781367,0.17156427076078598
DE944,0.2015322371176099,0.1900766599905761,0.13973878845296434,0.06926403127086557,0.011116763978810102,0.0005177557033233525,2.249720678108732e-17,1.5284941534136658e-05,0.008572295683784792,0.06389776416497464,0.13023724440739107,0.1850311742881657
DE945,0.19070560157442257,0.18251706656827252,0.13893534470868832,0.08151410904764493,0.019988798394383334,0.0015537212139156184,0.0,0.00043960732284999414,0.011663024858444454,0.0696138237720947,0.13063510541147885,0.17243379712780482
DE946,0.18879715337125216,0.1808122908854747,0.1382444130703172,0.08224367274145751,0.022097884894948145,0.001844420768274401,4.737540679100742e-18,0.0007874682828714332,0.013548092475015245,0.07052693728051511,0.13013846927299388,0.17095919695688042
DE947,0.1854718911063838,0.18060824436002743,0.14212734949682218,0.08628508515448179,0.031034085503686762,0.0030741562692453844,-6.313737282482052e-18,0.00012698410530114342,0.009465709292064445,0.06512670031853256,0.12543203803293695,0.17124775636051748
DE948,0.19981581612272428,0.18862655402217526,0.13939557729401814,0.07047385657681787,0.013174298944259515,0.0007917893048892148,3.749037830464989e-17,4.489594175140181e-05,0.00892308468982029,0.0649634677167954,0.1301042487637098,0.18368641062303875
DE949,0.1864011499615323,0.18145503110996533,0.1423960551871898,0.08570831321441529,0.029904125878401588,0.002922039523176189,-2.351267077803633e-16,0.00011546058079080233,0.00927412651608144,0.06441868238135615,0.12544791626510973,0.17195709938198117
DE94A,0.1848286279615783,0.1800220101133787,0.14194087743715114,0.08668025934238584,0.03179906607058254,0.0031770310478098336,5.3235179830587704e-17,0.00013888124904194667,0.009617781383617723,0.06561849146028252,0.12542040382170377,0.17075657011246778
DE94B,0.19925942842626088,0.1881606936678241,0.13930540148689297,0.07088742552075013,0.013772217412917603,0.0008701638781143129,0.0,4.799745148826994e-05,0.009011085497538165,0.06534390349570435,0.13008543331643235,0.18325624984607694
DE94C,0.18528988902050436,0.1804420148625399,0.14207182048610706,0.08639203672911648,0.0312500723869116,0.0031032910431596865,-2.4597940852853595e-18,0.0001334324678187842,0.009523064777652846,0.06526160426664201,0.12542492017901735,0.17110785378052987
DE94D,0.1884177132776778,0.18048217913764278,0.13815780015914375,0.08245939991357665,0.022467451945676748,0.0018936255611215016,1.9357763901849904e-17,0.0008171483154637743,0.013742291282201759,0.07077960144556052,0.13009855872930307,0.1706842302326316
DE94E,0.19954145215823518,0.1884093889276966,0.13941413820511653,0.07073527421282189,0.013228609904750544,0.0007943423749237837,1.366742148170637e-16,3.3763055753260083e-05,0.008923495208309358,0.06526042417247888,0.1301676205769421,0.18349149120297156
DE94F,0.18909723335492648,0.18107511691650494,0.1383230083900988,0.08208745889965356,0.021797466575292485,0.0018040464720701836,-3.3724243800149486e-17,0.000755793554287549,0.013356841210989763,0.07034102094623221,0.13018173588214643,0.17118027779779746
DE94G,0.1872817382575095,0.17948982729082794,0.1378751857175498,0.08307244357611869,0.023594902948570983,0.0020446238192232593,1.015025391351763e-17,0.0009244984586774087,0.014408434767084415,0.07150362534594305,0.12995205553403572,0.16985266428445925
DE94H,0.18531790972360307,0.1804686269495378,0.14208815088061982,0.08639119367939849,0.031228446343780757,0.003100195290722645,5.2425802067434896e-18,0.00012172414505679252,0.0094636776585549,0.06525130735007655,0.12543676631956718,0.17113200165908202
DE501,0.1915305249085077,0.18323835533178126,0.13914437674091384,0.08105655726039934,0.0190737506825483,0.0014302973777677358,-1.9017696923403573e-16,0.0003770746643639535,0.011257838207067881,0.0691062949137001,0.13074590083027487,0.17303902908267502
DE502,0.19103920118984102,0.18280074723567943,0.1389738580459875,0.08123336096349568,0.019498055213984115,0.0014880873153750246,1.7035470682539225e-17,0.0004830334277737787,0.011827812293063868,0.06936723199457971,0.13062657324890703,0.1726620390713129
DEA11,0.20389746911958573,0.1925054175991612,0.1377560845460215,0.07434135088351643,0.009270738453653372,0.0001344830084514716,-2.5149439249466525e-16,-2.5149439249466525e-16,0.0069645366516927504,0.05669347779038523,0.1331312457789622,0.1853051961685694
DEA12,0.20274723680366008,0.1915663685651804,0.13777124862005669,0.07519773129616565,0.009754161737334595,0.000187342782604741,1.2301180310972883e-16,1.2301180310972883e-16,0.007187737532365477,0.057873781029083,0.1332275230417316,0.18448686859181743
DEA13,0.20229860862125293,0.1912011369660923,0.1377827078457873,0.0755350230840436,0.009916835526566404,0.00020413426601860278,2.4268090977068037e-16,2.4268090977068037e-16,0.007276630195629227,0.058344636446024216,0.13327100414150572,0.18416928290707918
DEA14,0.20189758182349227,0.19085734087021847,0.13769956592998675,0.07578136122764192,0.010498074217271244,0.00028357461190180503,2.3205377240221438e-17,2.3205377240221438e-17,0.007325151502065724,0.058588713394919466,0.13321000086597,0.1838586355565324
DEA15,0.20207875608536344,0.19100918464052594,0.1377183877959125,0.0756590014942524,0.010322941758603864,0.00026061466579986153,4.546024952147248e-18,4.546024952147248e-18,0.007297022111017505,0.05844296303866916,0.1332175195642933,0.18399360884556215
DEA16,0.201486551712519,0.19052296386019923,0.13771138984721243,0.076091168434543,0.01064093087996912,0.00029804464526713006,-1.292423699227031e-16,-1.292423699227031e-16,0.007407033362641374,0.05902261684424405,0.13325125503234633,0.18356804538105823
DEA17,0.20207874800047113,0.19101732117822004,0.13776230098252412,0.07568494831173467,0.010118004577831297,0.0002303175155896492,-2.95014735259392e-18,-2.95014735259392e-18,0.0073115725171164605,0.05852611777653987,0.13326448306939517,0.18400618607057767
DEA18,0.20076033044836533,0.18992220689846445,0.1376785221164363,0.07660678895228112,0.01114422390957789,0.00036070114283481803,7.8689145823536e-18,7.8689145823536e-18,0.007533894117913298,0.059687463176548675,0.13326665209850982,0.1830392171390682
DEA19,0.20065654581929443,0.18983216595914568,0.13765124879227048,0.07666714008781234,0.0113215118866977,0.00038523169078063916,1.1031834605109517e-17,1.1031834605109517e-17,0.007544544137476793,0.059739730215647026,0.13324470841158642,0.18295717299928851
